method,problem,x0,x_final,f_final,grad_norm_final,iterations,func_calls,grad_calls,hess_calls,converged,status,experiment,start_index,n,condition_number,restarts,fallback_count,accepted_steps,final_delta,skipped_updates,memory
quadratic_cg,quadratic_2d_k10,"[-5, -5]","[1, -2]",-4.11069736052712,4.3703883886519456e-14,2,1,3,0,True,converged,quadratic_2d_trajectories,1,2,10,,,,,,
nonlinear_cg_fr,quadratic_2d_k10,"[-5, -5]","[0.9999999968, -1.999999997]",-4.110697360527121,4.7573118853438544e-09,147,1950,148,0,True,converged,quadratic_2d_trajectories,1,2,10,6.0,,,,,
nonlinear_cg_pr,quadratic_2d_k10,"[-5, -5]","[0.9999999963, -1.999999995]",-4.110697360527119,6.7538010998248204e-09,38,152,39,0,True,converged,quadratic_2d_trajectories,1,2,10,9.0,,,,,
newton_cholesky,quadratic_2d_k10,"[-5, -5]","[1, -2]",-4.11069736052712,7.944109290391274e-15,1,1,2,1,True,converged,quadratic_2d_trajectories,1,2,10,,,,,,
newton_direction,quadratic_2d_k10,"[-5, -5]","[1, -2]",-4.110697360527121,7.588599744428075e-15,1,3,3,1,True,converged,quadratic_2d_trajectories,1,2,10,,0.0,,,,
dogleg,quadratic_2d_k10,"[-5, -5]","[1, -2]",-4.1106973605271175,6.4047456679787536e-15,3,7,4,3,True,converged,quadratic_2d_trajectories,1,2,10,,,3.0,4.0,,
dfp,quadratic_2d_k10,"[-5, -5]","[0.9999999952, -1.999999996]",-4.110697360527119,8.981524975300325e-09,3,10,7,0,True,converged,quadratic_2d_trajectories,1,2,10,0.0,,,,0.0,
bfgs,quadratic_2d_k10,"[-5, -5]","[1, -2]",-4.110697360527119,3.705177237359148e-11,4,12,9,0,True,converged,quadratic_2d_trajectories,1,2,10,0.0,,,,1.0,
lbfgs,quadratic_2d_k10,"[-5, -5]","[1.000000001, -2.000000001]",-4.110697360527119,1.8066535180676866e-09,6,16,19,0,True,converged,quadratic_2d_trajectories,1,2,10,0.0,,,,1.0,10.0
quadratic_cg,quadratic_2d_k10,"[5, 5]","[1, -2]",-4.1106973605271175,1.0503437418062646e-13,2,1,3,0,True,converged,quadratic_2d_trajectories,2,2,10,,,,,,
nonlinear_cg_fr,quadratic_2d_k10,"[5, 5]","[0.9999999972, -1.999999997]",-4.110697360527121,4.617587456930399e-09,64,831,65,0,True,converged,quadratic_2d_trajectories,2,2,10,3.0,,,,,
nonlinear_cg_pr,quadratic_2d_k10,"[5, 5]","[0.999999992, -1.999999993]",-4.110697360527121,1.7356024674488747e-08,600,17910,601,0,False,max_iter_reached,quadratic_2d_trajectories,2,2,10,8.0,,,,,
newton_cholesky,quadratic_2d_k10,"[5, 5]","[1, -2]",-4.1106973605271175,6.4047456679787536e-15,1,1,2,1,True,converged,quadratic_2d_trajectories,2,2,10,,,,,,
newton_direction,quadratic_2d_k10,"[5, 5]","[1, -2]",-4.11069736052712,4.440892098500626e-15,1,3,3,1,True,converged,quadratic_2d_trajectories,2,2,10,,0.0,,,,
dogleg,quadratic_2d_k10,"[5, 5]","[1, -2]",-4.110697360527119,0.0,4,9,5,4,True,converged,quadratic_2d_trajectories,2,2,10,,,4.0,8.0,,
dfp,quadratic_2d_k10,"[5, 5]","[1, -2]",-4.110697360527119,2.0472127243598361e-13,4,12,9,0,True,converged,quadratic_2d_trajectories,2,2,10,0.0,,,,1.0,
bfgs,quadratic_2d_k10,"[5, 5]","[1, -2]",-4.110697360527119,2.0314203420240337e-10,4,12,9,0,True,converged,quadratic_2d_trajectories,2,2,10,0.0,,,,0.0,
lbfgs,quadratic_2d_k10,"[5, 5]","[0.9999999967, -1.999999997]",-4.110697360527119,6.547105249411331e-09,6,16,19,0,True,converged,quadratic_2d_trajectories,2,2,10,0.0,,,,0.0,10.0
quadratic_cg,quadratic_2d_k10,"[-5, 3]","[1, -2]",-4.110697360527119,7.588599744428075e-15,2,1,3,0,True,converged,quadratic_2d_trajectories,3,2,10,,,,,,
nonlinear_cg_fr,quadratic_2d_k10,"[-5, 3]","[0.9999999962, -1.999999996]",-4.110697360527121,6.3753929227392186e-09,127,2200,128,0,True,converged,quadratic_2d_trajectories,3,2,10,3.0,,,,,
nonlinear_cg_pr,quadratic_2d_k10,"[-5, 3]","[0.9999999964, -1.999999997]",-4.110697360527119,9.19828078280674e-09,35,144,36,0,True,converged,quadratic_2d_trajectories,3,2,10,9.0,,,,,
newton_cholesky,quadratic_2d_k10,"[-5, 3]","[1, -2]",-4.110697360527119,5.617333549722722e-15,1,1,2,1,True,converged,quadratic_2d_trajectories,3,2,10,,,,,,
newton_direction,quadratic_2d_k10,"[-5, 3]","[1, -2]",-4.110697360527118,6.4047456679787536e-15,1,3,3,1,True,converged,quadratic_2d_trajectories,3,2,10,,0.0,,,,
dogleg,quadratic_2d_k10,"[-5, 3]","[1, -2]",-4.110697360527119,0.0,4,9,5,4,True,converged,quadratic_2d_trajectories,3,2,10,,,4.0,8.0,,
dfp,quadratic_2d_k10,"[-5, 3]","[1, -2]",-4.1106973605271175,9.840502376631984e-12,6,15,13,0,True,converged,quadratic_2d_trajectories,3,2,10,0.0,,,,1.0,
bfgs,quadratic_2d_k10,"[-5, 3]","[1, -2]",-4.11069736052712,3.1254611680911655e-11,7,17,15,0,True,converged,quadratic_2d_trajectories,3,2,10,0.0,,,,1.0,
lbfgs,quadratic_2d_k10,"[-5, 3]","[1, -2]",-4.110697360527119,1.7434794040522379e-10,10,23,31,0,True,converged,quadratic_2d_trajectories,3,2,10,0.0,,,,1.0,10.0
quadratic_cg,quadratic_2d_k10,"[3, -6]","[1, -2]",-4.110697360527118,5.9580819677934555e-15,2,1,3,0,True,converged,quadratic_2d_trajectories,4,2,10,,,,,,
nonlinear_cg_fr,quadratic_2d_k10,"[3, -6]","[0.9999999979, -1.999999997]",-4.11069736052712,3.770649055635305e-09,99,454,100,0,True,converged,quadratic_2d_trajectories,4,2,10,2.0,,,,,
nonlinear_cg_pr,quadratic_2d_k10,"[3, -6]","[0.9999999997, -2.000000002]",-4.110697360527121,1.2320245414394692e-08,600,16886,601,0,False,max_iter_reached,quadratic_2d_trajectories,4,2,10,11.0,,,,,
newton_cholesky,quadratic_2d_k10,"[3, -6]","[1, -2]",-4.11069736052712,2.808666774861361e-15,1,1,2,1,True,converged,quadratic_2d_trajectories,4,2,10,,,,,,
newton_direction,quadratic_2d_k10,"[3, -6]","[1, -2]",-4.110697360527119,2.8435583831733384e-15,1,3,3,1,True,converged,quadratic_2d_trajectories,4,2,10,,0.0,,,,
dogleg,quadratic_2d_k10,"[3, -6]","[1, -2]",-4.110697360527118,1.9860273225978185e-15,3,7,4,3,True,converged,quadratic_2d_trajectories,4,2,10,,,3.0,4.0,,
dfp,quadratic_2d_k10,"[3, -6]","[1, -2]",-4.1106973605271175,6.928799767831521e-10,4,12,9,0,True,converged,quadratic_2d_trajectories,4,2,10,0.0,,,,0.0,
