method,problem,x0,x_final,f_final,grad_norm_final,iterations,func_calls,grad_calls,hess_calls,converged,status,experiment,n,condition_number,x_star,restarts,fallback_count,accepted_steps,final_delta,skipped_updates,memory,scipy_status,start_index,nearest_minimum,nearest_minimum_point,nearest_minimum_distance
quadratic_cg,quadratic_n2_k1,"[0, 0]","[-1.115524172, -0.4526328251]",-0.7246353258848454,2.7755575615628914e-16,1,1,2,0,True,converged,quadratic_grid,2.0,1.0,"[-1.115524172, -0.4526328251]",,,,,,,,,,,
nonlinear_cg_fr,quadratic_n2_k1,"[0, 0]","[-1.115524172, -0.4526328251]",-0.7246353258848452,6.684427777288335e-16,1,3,2,0,True,converged,quadratic_grid,2.0,1.0,"[-1.115524172, -0.4526328251]",0.0,,,,,,,,,,
nonlinear_cg_pr,quadratic_n2_k1,"[0, 0]","[-1.115524172, -0.4526328251]",-0.7246353258848452,6.684427777288335e-16,1,3,2,0,True,converged,quadratic_grid,2.0,1.0,"[-1.115524172, -0.4526328251]",0.0,,,,,,,,,,
newton_cholesky,quadratic_n2_k1,"[0, 0]","[-1.115524172, -0.4526328251]",-0.7246353258848451,2.2887833992611187e-16,1,1,2,1,True,converged,quadratic_grid,2.0,1.0,"[-1.115524172, -0.4526328251]",,,,,,,,,,,
newton_direction,quadratic_n2_k1,"[0, 0]","[-1.115524172, -0.4526328251]",-0.7246353258848452,0.0,1,3,3,1,True,converged,quadratic_grid,2.0,1.0,"[-1.115524172, -0.4526328251]",,0.0,,,,,,,,,
dogleg,quadratic_n2_k1,"[0, 0]","[-1.115524172, -0.4526328251]",-0.7246353258848452,0.0,2,5,3,2,True,converged,quadratic_grid,2.0,1.0,"[-1.115524172, -0.4526328251]",,,2.0,2.0,,,,,,,
dfp,quadratic_n2_k1,"[0, 0]","[-1.115524172, -0.4526328251]",-0.7246353258848452,6.684427777288335e-16,1,3,3,0,True,converged,quadratic_grid,2.0,1.0,"[-1.115524172, -0.4526328251]",0.0,,,,0.0,,,,,,
bfgs,quadratic_n2_k1,"[0, 0]","[-1.115524172, -0.4526328251]",-0.7246353258848452,6.684427777288335e-16,1,3,3,0,True,converged,quadratic_grid,2.0,1.0,"[-1.115524172, -0.4526328251]",0.0,,,,0.0,,,,,,
lbfgs,quadratic_n2_k1,"[0, 0]","[-1.115524172, -0.4526328251]",-0.7246353258848452,6.684427777288335e-16,1,3,4,0,True,converged,quadratic_grid,2.0,1.0,"[-1.115524172, -0.4526328251]",0.0,,,,0.0,10.0,,,,,
scipy_newton_cg,quadratic_n2_k1,"[0, 0]","[0, 0]",0.0,1.2038565744181031,0,1,1,0,False,scipy_not_installed,quadratic_grid,2.0,1.0,"[-1.115524172, -0.4526328251]",,,,,,,not_installed,,,,
